filename,title,genre
100_minutes,100 minutes,"drama, history, war"
12,12,"crime, drama, thriller, war"
1812_ulanskaya_ballada,1812. ulanskaya ballada,"adventure, drama, history"
7_dney_7_nochey,"7 dney, 7 nochey","comedy, family"
about_love,about love,"drama, romance, thriller"
admiral,admiral,"biography, drama, history, war, romance"
adventures_in_emerald,adventures in emerald city s01e01 english subtitles (1999),"animation, adventure, fantasy"
alexander:_the_neva_battle,alexander: the neva battle,"history, action, adventure, war"
alexandra,alexandra,"drama, war"
alyosha_popovich_i_tugarin,alyosha popovich i tugarin zmey,"animation, comedy, musical, family, romance"
amanat,amanat,"biography, drama, history"
amba_first_movie,amba - first movie,"animation, short, sci-fi"
and_quiet_flows_the_don,and quiet flows the don,"drama, history, war"
andrey_tarkovsky_a_cinema,andrey tarkovsky. a cinema prayer,documentary
anna,anna,"action, thriller"
apostol,apostol,Unknown
attraction,attraction,"drama, action, sci-fi, romance"
august._eighth,august. eighth,"action, drama, fantasy, thriller, war, sci-fi"
baba_yaga_spasaet_mir,baba yaga spasaet mir,"adventure, comedy, family"
bablo,bablo,"comedy, crime"
baikonur,baikonur,"comedy, drama, romance"
bastards,bastards,"action, drama, war"
battalion,battalion,"action, drama, history, war"
battle_for_sevastopol,battle for sevastopol,"action, biography, drama, romance, war"
beanpole,beanpole,"drama, war"
bear_s_kiss,bears kiss,"drama, fantasy, romance"
better_than_us_episode,better than us episode two s01e02,"drama, sci-fi"
black_sea,black sea,"adventure, drama, thriller"
black_square,black square,"crime, mystery"
blind_man_s_bluff,blind mans bluff,"comedy, crime, thriller"
blindazh,blindazh,Unknown
bogatyrsha,bogatyrsha,animation
boj_s_tenyu,boj s tenyu,"action, drama, sport"
bolevoy_porog,bolevoy porog,"action, thriller"
branded,branded,"action, fantasy, drama, mystery, sci-fi, thriller"
break,break,"adventure, drama, horror, thriller"
brother,brother,"crime, action, drama, thriller, romance"
brother_2,brother 2,"action, crime, thriller, drama"
bummer,bummer,"crime, drama"
calculator,calculator,"action, sci-fi, thriller"
cargo_200,cargo 200,"drama, crime, thriller"
central_russia_s_vampires,central russias vampires,"action, comedy, mystery, fantasy"
chebi_my_fluffy_friend,chebi: my fluffy friend,"comedy, family"
cheburashka_istoriya_novogodnego,cheburashka. istoriya novogodnego chuda,documentary
chempiony,chempiony,"biography, drama, sport"
chempiony_bystree_vyshe,chempiony: bystree. vyshe. silnee,"biography, drama, sport"
chernaya_gora,chernaya gora,"crime, mystery"
child_44,child 44,"drama, crime, thriller, history"
chistilische,chistilische,war
chucha_2,chucha-2,"animation, short, adventure"
closeness,closeness,drama
coat_check_lady,coat check lady,"short, comedy, drama"
collector,collector,"drama, thriller"
come_look_at_me,come look at me,"comedy, romance"
convoy_48,convoy 48,"drama, war"
lichniy_nomer,countdown,"action, adventure, crime, thriller"
country_of_the_deaf,country of the deaf,"comedy, crime, drama"
dark_world,dark world,"fantasy, adventure, mystery, thriller, sci-fi"
day_watch,day watch,"action, fantasy, thriller, horror"
dazhe_ne_dumay_2_ten_nezavisimosti,dazhe ne dumay 2: ten nezavisimosti,"adventure, comedy, crime, sci-fi, thriller"
dead_daughters,dead daughters,"drama, horror"
death_to_spies,death to spies,"drama, action, war, mystery, history"
ded_moroz_bitva_magov,ded moroz. bitva magov,"action, adventure, family, fantasy"
den_rozhdeniya_alisy,den rozhdeniya alisy,"animation, family, sci-fi"
detki_naprokat,detki naprokat,"comedy, family"
devochki,devochki,"drama, romance"
doctor_lisa,doctor lisa,"biography, drama"
dovlatov,dovlatov,"biography, drama"
driven_to_kill,driven to kill,"action, crime, thriller"
drongo,drongo,"action, crime, mystery"
drugoe_litso,drugoe litso,"drama, mystery"
dunno_on_the_moon,dunno on the moon,"animation, adventure, comedy"
